,topBrand,category,categoryCode,barcode,name,cpg,_id,brandCode
0,False,Baking,BAKING,511111019862,test brand @1612366101024,"{'$id': {'$oid': '601ac114be37ce2ead437550'}, '$ref': 'Cogs'}",{'$oid': '601ac115be37ce2ead437551'},
1,False,Beverages,BEVERAGES,511111519928,Starbucks,"{'$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}, '$ref': 'Cogs'}",{'$oid': '601c5460be37ce2ead43755f'},STARBUCKS
2,False,Baking,BAKING,511111819905,test brand @1612366146176,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",{'$oid': '601ac142be37ce2ead43755d'},TEST BRANDCODE @1612366146176
3,False,Baking,BAKING,511111519874,test brand @1612366146051,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",{'$oid': '601ac142be37ce2ead43755a'},TEST BRANDCODE @1612366146051
4,False,Candy & Sweets,CANDY_AND_SWEETS,511111319917,test brand @1612366146827,"{'$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}, '$ref': 'Cogs'}",{'$oid': '601ac142be37ce2ead43755e'},TEST BRANDCODE @1612366146827
5,False,Baking,BAKING,511111719885,test brand @1612366146091,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",{'$oid': '601ac142be37ce2ead43755b'},TEST BRANDCODE @1612366146091
6,False,Baking,BAKING,511111219897,test brand @1612366146133,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",{'$oid': '601ac142be37ce2ead43755c'},TEST BRANDCODE @1612366146133
7,,Condiments & Sauces,,511111104810,J.L. Kraft,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '5cdad0f5166eb33eb7ce0faa'},J.L. KRAFT
8,False,Canned Goods & Soups,,511111504412,Campbell's Home Style,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",{'$oid': '5ab15636e4b0be0a89bb0b07'},CAMPBELLS HOME STYLE
9,,Baking,,511111504788,test,"{'$ref': 'Cogs', '$id': {'$oid': '59ba6f1ce4b092b29c167346'}}",{'$oid': '5c408e8bcd244a1fdb47aee7'},TEST
10,,Baking,BAKING,511111516354,test brand @1598813526777,"{'$ref': 'Cogs', '$id': {'$oid': '5f4bf556be37ce0b44915549'}}",{'$oid': '5f4bf556be37ce0b4491554d'},TEST BRANDCODE @1598813526777
11,,,,511111102540,MorningStar,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",{'$oid': '57c08106e4b0718ff5fcb02c'},
12,False,Baking,,511111201076,Calumet,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '588ba07be4b02187f85cdadd'},CALUMET
13,,Magazines,,511111205012,Entertainment Weekly,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",{'$oid': '5d6413156d5f3b23d1bc790a'},511111205012
14,False,Breakfast & Cereal,,511111801801,AUNT JEMIMA Syrup,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",{'$oid': '585a9611e4b03e62d1ce0e74'},AUNT JEMIMA SYRUP
15,False,Beer Wine Spirits,,511111202233,Molson Canadian,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",{'$oid': '57e5820ce4b0ac389136a311'},MOLSON
16,False,Health & Wellness,HEALTHY_AND_WELLNESS,511111817376,Lotrimin®,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",{'$oid': '5fb6adb8be37ce522e165cb8'},LOTRIMIN
17,,Baking,BAKING,511111515319,test brand @1597342520277,"{'$ref': 'Cogs', '$id': {'$oid': '5f358338be37ce443bf9d557'}}",{'$oid': '5f358338be37ce443bf9d55a'},TEST BRANDCODE @1597342520277
18,False,Baking,BAKING,511111317364,test brand @1605535049181,"{'$ref': 'Cogs', '$id': {'$oid': '5fb28549be37ce522e165cb4'}}",{'$oid': '5fb28549be37ce522e165cb5'},
19,False,Beauty,,511111300700,ST. IVES,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",{'$oid': '592486bfe410d61fcea3d139'},ST IVES
20,,Baby,,511111305125,Chris Image Test,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",{'$oid': '5c4699f387ff3577e203ea29'},CHRISIMAGE
21,,Health & Wellness,HEALTHY_AND_WELLNESS,511111005650,Alka-Seltzer®,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",{'$oid': '5da6071ea60b87376833e34d'},ALKA SELTZER
22,False,Condiments & Sauces,,511111802129,Jack Daniel's,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",{'$oid': '57ebc011e4b0ac389136a335'},JACK DANIEL'S BARBECUE
23,,,,511111303947,Bottled Starbucks,"{'$ref': 'Cpgs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",{'$oid': '5332f5fee4b03c9a25efd0bd'},
24,,,,511111802914,Full Throttle,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",{'$oid': '5332fa7ce4b03c9a25efd22e'},
25,,Baking,BAKING,511111914549,PopUp Brand A,"{'$ref': 'Cogs', '$id': {'$oid': '5e9f12f5be37ce3e45b6a77e'}}",{'$oid': '5e9f18bfbe37ce3e45b6a77f'},
26,False,Frozen,,511111400769,MAGNUM Ice Cream,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",{'$oid': '592486bee410d61fcea3d133'},MAGNUM Ice Cream
27,,Magazines,,511111105329,Elegant Homes Magazine,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",{'$oid': '5d66d71fa3a018093ab34728'},511111105329
