,itemPrice,partnerItemId,originalReceiptItemText,pointsEarned,discountedItemPrice,rewardsGroup,userFlaggedBarcode,rewardsProductPartnerId,priceAfterCoupon,pointsNotAwardedReason,originalMetaBriteQuantityPurchased,targetPrice,receipt_id,pointsPayerId,barcode,originalMetaBriteBarcode,needsFetchReviewReason,userFlaggedNewItem,brandCode,description,quantityPurchased,metabriteCampaignId,itemNumber,preventTargetGapPoints,finalPrice,originalMetaBriteDescription,deleted,originalFinalPrice,originalMetaBriteItemPrice,competitiveProduct,needsFetchReview,userFlaggedPrice,userFlaggedQuantity,competitorRewardsGroup,userFlaggedDescription
0,26.00,1,,,,,4011,,,,,,5ff1e1eb0a720f0523000575,,4011,,,True,,ITEM NOT FOUND,5.0,,,True,26.00,,,,,,False,26.00,5.0,,
1,1,1,,,,,,,,,,,5ff1e1bb0a720f052300056b,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,,,,,
2,10.00,2,,,,DORITOS SPICY SWEET CHILI SINGLE SERVE,028400642255,5332f5fbe4b03c9a25efd0ba,,Action not allowed for user and CPG,,,5ff1e1bb0a720f052300056b,5332f5fbe4b03c9a25efd0ba,028400642255,,USER_FLAGGED,True,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,1.0,,,True,10.00,,,,,,True,10.00,1.0,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ
3,,1,,,,,4011,,,,,,5ff1e1f10a720f052300057a,,,,,True,,,,,,True,,,,,,,False,26.00,3.0,,
4,28.00,1,,,,,4011,,,,,,5ff1e1ee0a7214ada100056f,,4011,,,True,,ITEM NOT FOUND,4.0,,,True,28.00,,,,,,False,28.00,4.0,,
5,1,1,,,,,,,,,,,5ff1e1d20a7214ada1000561,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,,,,,
6,2.56,2,,,,,1234,,,,,,5ff1e1d20a7214ada1000561,,1234,,USER_FLAGGED,True,,,3.0,,,True,2.56,,,,,,True,2.56,3.0,,
7,3.25,1,,,,DORITOS SPICY SWEET CHILI SINGLE SERVE,4011,5332f5fbe4b03c9a25efd0ba,,Action not allowed for user and CPG,,,5ff1e1e40a7214ada1000566,5332f5fbe4b03c9a25efd0ba,4011,028400642255,,,,ITEM NOT FOUND,1.0,,,True,3.25,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,,,False,,,,
8,2.23,1009,MSSN TORTLLA,,2.23,,,,,,,,5ff1e1cd0a720f052300056f,,,,,,MISSION,MSSN TORTLLA,1.0,,,,2.23,,,,,,,,,TACO BELL TACO SHELLS,
9,10.00,0,,,,OLD EL PASO BEANS & PEPPERS,,5332f5f3e4b03c9a25efd0ae,,Action not allowed for user and CPG,,,5ff1e1a40a720f0523000569,5332f5f3e4b03c9a25efd0ae,046000832517,,,,BRAND,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",1.0,,,,10.00,,,,,,,,,,
10,20.00,1,,,,,4011,,,,,,5ff1e1ed0a7214ada100056e,,4011,,,True,,ITEM NOT FOUND,5.0,,,True,20.00,,,,,,False,20.00,5.0,,
11,20.00,1,,,,,4011,,,,,,5ff1e1eb0a7214ada100056b,,4011,,,True,,ITEM NOT FOUND,3.0,,,True,20.00,,,,,,False,20.00,3.0,,
12,1,1,,,,,,,,,,,5ff1e1c50a720f052300056c,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,,,,,
13,50.00,1,,,50.00,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,,5332f5f3e4b03c9a25efd0ae,,Action not allowed for user and CPG,1.0,,5ff1e1a10a720f0523000568,5332f5f3e4b03c9a25efd0ae,013562300631,,POINTS_GREATER_THAN_THRESHOLD,,,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",5.0,,013562300631,,50.00,,,,,,True,,,,
14,29,1,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
15,29,2,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
16,29,3,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
17,29,4,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
18,29,5,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
19,29,6,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
20,29,7,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
21,29,8,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
22,29,9,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
23,29,10,,870.0,,MILLER LITE 24 PACK,,5332f709e4b03c9a25efd0f1,,,,77,5ff1e1b60a7214ada100055c,5332f709e4b03c9a25efd0f1,034100573065,,,,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,,29,,,,,,,,,,
24,1,1,,,,KRAFT NATURAL CHEESE - SHREDDED,,559c2234e4b06aca36af13c6,,,,,5f9c74f70a7214ad07000037,,075925306254,,,,,,1.0,,,,1,,,,,True,,,,,
25,,2,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
26,,3,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
27,,4,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
28,,5,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
29,,6,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
30,,7,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
31,,8,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
32,,9,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
33,,10,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
34,,11,,,,,034100573065,,,,,,5f9c74f70a7214ad07000037,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
35,1,1,,,,,,,,,,,5ff1e1b20a7214ada100055a,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,,,,,
36,,1,,,,,4011,,,,,,5ff1e1e90a7214ada1000569,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,25.00,3.0,,
37,,2,,,,,034100573065,,,,,,5ff1e1e90a7214ada1000569,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,27.00,3.0,,MILLER LITE 24 PACK 12OZ CAN
38,1,1,,,,,,,,,,,5ff1e1df0a7214ada1000564,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,False,,,,
39,10.00,2,,,,DORITOS SPICY SWEET CHILI SINGLE SERVE,028400642255,5332f5fbe4b03c9a25efd0ba,,Action not allowed for user and CPG,,800,5ff1e1df0a7214ada1000564,5332f5fbe4b03c9a25efd0ba,028400642255,,,True,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,1.0,,,True,10.00,,,,,,False,10.00,1.0,,
40,1,1,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,5e7cf838f221c312e698a628,,,,,5ff1e1b40a7214ada100055b,,075925306254,,,,,,1.0,,,,1,,,,,True,,,,,
41,,2,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
42,,3,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
43,,4,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
44,,5,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
45,,6,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
46,,7,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
47,,8,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
48,,9,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
49,,10,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
50,,11,,,,,034100573065,,,,,,5ff1e1b40a7214ada100055b,,,,USER_FLAGGED,True,,,,,,True,,,,,,,True,29.00,1.0,,MILLER LITE 24 PACK 12OZ CAN
51,26.00,1,,,,,4011,,,,,,5ff1e1eb0a720f0523000576,,4011,,,True,,ITEM NOT FOUND,2.0,,,True,26.00,,,,,,False,26.00,2.0,,
52,1,1,,,,,,,,,,,5ff1e1c80a720f052300056d,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,,,,,
53,,2,,,,,1234,,,,,,5ff1e1c80a720f052300056d,,1234,,USER_FLAGGED,True,,,,,,True,,,,,,,True,,,,
54,1,1,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,5e7cf838f221c312e698a628,,,,,5f9c74f90a7214ad07000038,,075925306254,,,,,,1.0,,,,1,,,,,True,False,,,,
55,10.00,2,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,075925306254,5e7cf838f221c312e698a628,,,2.0,,5f9c74f90a7214ad07000038,,075925306254,075925306254,,True,,,2.0,,,True,10.00,,,10.00,10.00,True,False,10.00,2.0,,
56,1.00,3,,30.0,,MILLER LITE 24 PACK,034100573065,5332f709e4b03c9a25efd0f1,,,1.0,77,5f9c74f90a7214ad07000038,5332f709e4b03c9a25efd0f1,034100573065,034100573065,,True,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,True,1.00,MILLER LITE 24 PACK 12OZ CAN,,1.00,1.00,,False,1.00,1.0,,
57,1.00,4,,30.0,,MILLER LITE 24 PACK,034100573065,5332f709e4b03c9a25efd0f1,,,1.0,77,5f9c74f90a7214ad07000038,5332f709e4b03c9a25efd0f1,034100573065,034100573065,,True,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,True,1.00,MILLER LITE 24 PACK 12OZ CAN,,1.00,1.00,,False,1.00,1.0,,
58,1.00,5,,30.0,,MILLER LITE 24 PACK,034100573065,5332f709e4b03c9a25efd0f1,,,,77,5f9c74f90a7214ad07000038,5332f709e4b03c9a25efd0f1,034100573065,,,True,,MILLER LITE 24 PACK 12OZ CAN,1.0,,,True,1.00,,,,,,False,1.00,1.0,,
59,1,1,,,,,,,,,,,5ff1e1960a720f0523000567,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,,,,,
60,21.00,1,,,,,4011,,,,,,5ff1e1ec0a7214ada100056c,,4011,,,True,,ITEM NOT FOUND,2.0,,,True,21.00,,,,,,False,21.00,2.0,,
61,1,1,,10.0,,KNORR SIDES,,5332f5f6e4b03c9a25efd0b4,,,,800,5ff1e1d70a720f0523000571,5332f5f6e4b03c9a25efd0b4,041000168468,,,,,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1.0,,,,1,,,,,,,,,,
62,1,2,,10.0,,NEXXUS HAIR CARE,,5332f5f6e4b03c9a25efd0b4,,,,800,5ff1e1d70a720f0523000571,5332f5f6e4b03c9a25efd0b4,2700719497082,,,,,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1.0,,,,1,,,,,,,,,,
63,1,1,,,,,,,,,,,5ff1e1c60a7214ada100055e,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,,,,,
64,,2,,,,,1234,,,,,,5ff1e1c60a7214ada100055e,,1234,,USER_FLAGGED,True,,,,,,True,,,,,,,True,,,,
65,27.00,1,,,,,4011,,,,,,5ff1e1ee0a7214ada1000570,,4011,,,True,,ITEM NOT FOUND,5.0,,,True,27.00,,,,,,False,27.00,5.0,,
66,1,1,,,,,,,,,,,5ff1e1cf0a720f0523000570,,4011,,,,,ITEM NOT FOUND,1.0,,,,1,,,,,,,,,,
67,,2,,,,,1234,,,,,,5ff1e1cf0a720f0523000570,,1234,,USER_FLAGGED,True,,,,,,True,,,,,,,True,,,,
68,1,1,,10.0,,SUAVE HAIR CARE,079400066619,5332f5f6e4b03c9a25efd0b4,,,,800,5ff1e1e10a720f0523000572,5332f5f6e4b03c9a25efd0b4,079400066619,080878042197,,,,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1.0,,,True,1,,,,,True,False,,,,
69,1,1,,,,,,,,,,,5ff1e1d40a7214ada1000562,,,,,,,DELETED ITEM,1.0,,,,1,,True,,,,,,,,
70,2,2,,,,,,,,,,,5ff1e1d40a7214ada1000562,,051500720011,,,,,JIF CRMY PNT BTR JAR 40 OZ,2.0,,,,2,,,,,,,,,,
71,27.00,1,,,,,4011,,,,,,5ff1e1ee0a720f0523000578,,4011,,,True,,ITEM NOT FOUND,4.0,,,True,27.00,,,,,,False,27.00,4.0,,
72,1,1,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
73,1,2,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
74,1,3,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
75,1,4,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
76,1,5,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
77,1,6,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
78,1,7,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
79,1,8,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
80,1,9,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
81,1,10,,5.0,,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,559c2234e4b06aca36af13c6,,,,800,5ff371030a7214ada10005a5,559c2234e4b06aca36af13c6,087684001127,,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1.0,,,,1,,,,,,,,,,
82,0.99,1,,,,SARGENTO STRING OR STICK CHEESE,,5e7cf838f221c312e698a628,,,,,5ff36dcc0a720f05230005b1,,071040063102,,,,,,1.0,,,,0.99,,,,,True,,,,,
