,createDate,dateScanned,purchaseDate,pointsEarned,finishedDate,pointsAwardedDate,modifyDate,bonusPointsEarned,totalSpent,rewardsReceiptStatus,_id,bonusPointsEarnedReason,userId,purchasedItemCount
0,{'$date': 1609687531000},{'$date': 1609687531000},{'$date': 1609632000000},500.0,{'$date': 1609687531000},{'$date': 1609687531000},{'$date': 1609687536000},500.0,26.00,FINISHED,{'$oid': '5ff1e1eb0a720f0523000575'},"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1eacfcf6c399c274ae6,5.0
1,{'$date': 1609687483000},{'$date': 1609687483000},{'$date': 1609601083000},150.0,{'$date': 1609687483000},{'$date': 1609687483000},{'$date': 1609687488000},150.0,11.00,FINISHED,{'$oid': '5ff1e1bb0a720f052300056b'},"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e194b6a9d73a3a9f1052,2.0
2,{'$date': 1609687537000},{'$date': 1609687537000},{'$date': 1609632000000},5,,,{'$date': 1609687542000},5.0,10.00,REJECTED,{'$oid': '5ff1e1f10a720f052300057a'},All-receipts receipt bonus,5ff1e1f1cfcf6c399c274b0b,1.0
3,{'$date': 1609687534000},{'$date': 1609687534000},{'$date': 1609632000000},5.0,{'$date': 1609687534000},{'$date': 1609687534000},{'$date': 1609687539000},5.0,28.00,FINISHED,{'$oid': '5ff1e1ee0a7214ada100056f'},All-receipts receipt bonus,5ff1e1eacfcf6c399c274ae6,4.0
4,{'$date': 1609687506000},{'$date': 1609687506000},{'$date': 1609601106000},5.0,{'$date': 1609687511000},{'$date': 1609687506000},{'$date': 1609687511000},5.0,1.00,FINISHED,{'$oid': '5ff1e1d20a7214ada1000561'},All-receipts receipt bonus,5ff1e194b6a9d73a3a9f1052,2.0
5,{'$date': 1609687524000},{'$date': 1609687524000},{'$date': 1609601124000},750.0,{'$date': 1609687525000},{'$date': 1609687525000},{'$date': 1609687530000},750.0,3.25,FINISHED,{'$oid': '5ff1e1e40a7214ada1000566'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1e4cfcf6c399c274ac3,1.0
6,{'$date': 1609687501000},{'$date': 1609687501000},{'$date': 1609687501000},5.0,{'$date': 1609687502000},{'$date': 1609687502000},{'$date': 1609687502000},5.0,2.23,FINISHED,{'$oid': '5ff1e1cd0a720f052300056f'},All-receipts receipt bonus,5ff1e194b6a9d73a3a9f1052,1.0
7,{'$date': 1609687460000},{'$date': 1609687460000},{'$date': 1609027200000},500.0,{'$date': 1609687461000},{'$date': 1609687461000},{'$date': 1609687461000},500.0,10.00,FINISHED,{'$oid': '5ff1e1a40a720f0523000569'},"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e194b6a9d73a3a9f1052,1.0
8,{'$date': 1609687533000},{'$date': 1609687533000},{'$date': 1609632000000},5.0,{'$date': 1609687534000},{'$date': 1609687534000},{'$date': 1609687538000},5.0,20.00,FINISHED,{'$oid': '5ff1e1ed0a7214ada100056e'},All-receipts receipt bonus,5ff1e1eacfcf6c399c274ae6,5.0
9,{'$date': 1609687531000},{'$date': 1609687531000},{'$date': 1609632000000},250.0,{'$date': 1609687531000},{'$date': 1609687531000},{'$date': 1609687536000},250.0,20.00,FINISHED,{'$oid': '5ff1e1eb0a7214ada100056b'},"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1eacfcf6c399c274ae6,3.0
10,{'$date': 1609687493000},{'$date': 1609687493000},{'$date': 1609601093000},100.0,{'$date': 1609687493000},{'$date': 1609687493000},{'$date': 1609687493000},100.0,1.00,FINISHED,{'$oid': '5ff1e1c50a720f052300056c'},"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e194b6a9d73a3a9f1052,1.0
11,{'$date': 1609687457000},{'$date': 1609687457000},{'$date': 1609545600000},750.0,{'$date': 1609688360000},{'$date': 1609687459000},{'$date': 1609688360000},750.0,50.00,FINISHED,{'$oid': '5ff1e1a10a720f0523000568'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e194b6a9d73a3a9f1052,5.0
12,{'$date': 1609687478000},{'$date': 1609687478000},{'$date': 1612365878000},8850.0,,,{'$date': 1609687478000},150.0,290.00,FLAGGED,{'$oid': '5ff1e1b60a7214ada100055c'},"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e194b6a9d73a3a9f1052,10.0
13,{'$date': 1604089079000},{'$date': 1604089079000},{'$date': 1604002679000},750.0,,{'$date': 1604089080000},{'$date': 1609687494000},750.0,1.00,REJECTED,{'$oid': '5f9c74f70a7214ad07000037'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5f9c74f7c88c1415cbddb839,11.0
14,{'$date': 1609687474000},{'$date': 1609687474000},{'$date': 1612365875000},300.0,{'$date': 1609687475000},{'$date': 1609687475000},{'$date': 1609687475000},300.0,1.00,FINISHED,{'$oid': '5ff1e1b20a7214ada100055a'},"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e194b6a9d73a3a9f1052,1.0
15,{'$date': 1609687529000},{'$date': 1609687529000},,,,,{'$date': 1609687529000},,0.00,FLAGGED,{'$oid': '5ff1e1e90a7214ada1000569'},,5ff1e1e9b6a9d73a3a9f10f6,0.0
16,{'$date': 1609687519000},{'$date': 1609687519000},{'$date': 1609601119000},750.0,{'$date': 1609687520000},{'$date': 1609687519000},{'$date': 1609687525000},750.0,11.00,FINISHED,{'$oid': '5ff1e1df0a7214ada1000564'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1dfcfcf6c399c274ab3,2.0
